Naam;Eiwit (g) per 100 gram;Energie (kcal) per 100 gram;1 VSE;Hoeveelheid gram/ml;Eiwit (g) per VSE;Energie (kcal) per VSE;Kleurgroep;Productgroep
Visvervanger (eiwitarm) Taranis, onb.;2,4;280;1 portie;31 gram;0,7;87;oranje;Vis
Lekkerbekje, gefrituurd;19;210;1 stuk;145 gram;27,6;305;rood;Vis
Garnalen, Hollandse (gek);19,8;94;1 eetlepel;10 gram;2;9;rood;Vis
Gezeefde tomaat (pak);1,8;39;1 sauslepel;25 gram;0,5;10;oranje;Vetten, oliën en hartige sauzen
Jus (gebonden) m juspoeder;1;429;1 sauslepel;25 gram;0,3;107;oranje;Vetten, oliën en hartige sauzen
Slasaus;0,3;158;1 sauslepel;25 gram;0,1;40;groen;Vetten, oliën en hartige sauzen
Bak- en braadvet (pakje);0,1;719;1 eetlepel;15 gram;0;108;groen;Vetten, oliën en hartige sauzen
Quorn fishfree stick (DV);4,5;214;1 stuk;20 gram;0,9;43;oranje;Vegetarische producten
Champignonburger Ital. Stijl (Jumbo);5,1;121;1 stuk;80 gram;4,1;97;rood;Vegetarische producten
Broccoli burger krokant (Jumbo);6,6;158;1 stuk;85 gram;5,6;134;rood;Vegetarische producten
Ragout met vlees;8,4;100;2 opscheplepels;100 gram;8,4;100;rood;Samengestelde gerechten
Tortellini (gekookt);7,7;155;2 opscheplepels;100 gram;7,7;155;rood;Samengestelde gerechten
Goulash;10,5;113;2 opscheplepels;120 gram;12,6;136;rood;Samengestelde gerechten
Gado Gado (z. rijst z. ei);3,7;103;2 opscheplepels;100 gram;3,7;103;rood;Samengestelde gerechten
Chili con carne (bereid);8,3;133;2 opscheplepels;140 gram;11,6;186;rood;Samengestelde gerechten
Babi pangang zonder rijst;10,2;131;2 opscheplepels;100 gram;10,2;131;rood;Samengestelde gerechten
Kip-kerriesalade;8,8;285;1 eetlepel;20 gram;1,8;57;rood;Salades
Ham-preisalade;3,6;243;1 eetlepel;20 gram;0,7;49;rood;Salades
Vlees- maaltijdsalade;3,8;168;1 bolletje;50 gram;1,9;84;rood;Salades
Vissalade ;8,6;304;1 eetlepel;20 gram;1,7;61;rood;Salades
Japanse mix met pinda;10,9;421;1 schaaltje;50 gram;5,5;211;rood;Noten, zaden en chips
Japanse mix z. pinda's;8,5;387;1 schaaltje;40 gram;3,4;155;rood;Noten, zaden en chips
Lijnzaad;19;477;1 eetlepel;7 gram;1,3;33;oranje;Noten, zaden en chips
Slagroom (onbereid);2,3;339;1 eetlepel;15 gram;0,3;51;oranje;Melkproducten- Room
Soja cuisine (Alpro);2;166;1 eetlepel;15 gram;0,3;25;oranje;Melkproducten- Room
Alpro whipping ;1;268;1 eetlepel;15 gram;0,2;40;oranje;Melkproducten- Room
Koffiecreamer;1,9;557;1 theelepel;3 gram;0,1;17;groen;Melkproducten- Koffiemelk
Sojadrink div smaken (Alpro);2,9;60;1 pakje;200 ml;5,8;120;rood;Melk/yoghurtdrank
Sojadrink naturel ;3,4;38;1 glas;200 ml;6,8;76;rood;Melk/yoghurtdrank
Chocolademelk, volle;3,3;82;1 glas;200 ml;6,6;164;rood;Melk/yoghurtdrank
Magere melk (0%);3,7;35;1 glas;200 ml;7,4;70;rood;Melk/yoghurtdrank
